aprueba,created_at
FALSE,12:19:36 PM
FALSE,9:09:38 PM
TRUE,8:29:03 AM
TRUE,2:19:11 PM
TRUE,7:09:35 PM
TRUE,8:18:10 PM
TRUE,8:29:16 PM
FALSE,9:03:05 PM
TRUE,9:41:16 AM
TRUE,2:31:42 PM
TRUE,9:35:22 PM
TRUE,9:47:34 PM
TRUE,12:39:01 AM
TRUE,1:37:35 AM
FALSE,12:04:56 PM
FALSE,11:42:51 AM
FALSE,11:45:28 AM
TRUE,11:48:40 AM
FALSE,3:31:06 PM
FALSE,10:43:50 AM
TRUE,10:48:39 AM
FALSE,1:29:02 PM
TRUE,1:55:12 PM
FALSE,3:21:39 PM
FALSE,3:13:31 PM
FALSE,4:38:49 PM
FALSE,4:49:14 PM
TRUE,4:56:24 PM
FALSE,5:01:05 PM
TRUE,6:14:03 PM
TRUE,1:23:11 PM
TRUE,6:25:24 PM
TRUE,9:24:48 PM
TRUE,9:28:59 PM
TRUE,11:06:27 PM
TRUE,3:45:47 PM
FALSE,12:13:29 AM
TRUE,1:07:17 PM
TRUE,5:47:54 PM
TRUE,9:28:31 PM
FALSE,8:55:19 AM
TRUE,12:51:35 AM
TRUE,3:51:50 PM
TRUE,3:50:31 PM
TRUE,3:52:15 PM
TRUE,5:33:41 PM
TRUE,8:12:16 PM
TRUE,1:12:46 PM
TRUE,2:21:04 PM
TRUE,4:04:05 PM
TRUE,5:57:14 PM
FALSE,6:10:36 PM
TRUE,6:25:36 PM
TRUE,6:30:13 PM
TRUE,7:13:47 PM
FALSE,8:08:48 PM
TRUE,8:09:42 PM
TRUE,9:21:56 PM
TRUE,9:32:45 PM
TRUE,6:35:38 AM
FALSE,11:50:14 PM
TRUE,3:23:32 PM
FALSE,4:53:42 PM
TRUE,5:29:22 PM
TRUE,5:45:26 PM
TRUE,5:43:02 PM
TRUE,5:35:52 PM
FALSE,7:58:57 PM
TRUE,10:58:17 PM
TRUE,11:09:29 PM
TRUE,1:15:43 AM
TRUE,3:25:38 PM
TRUE,12:57:47 PM
FALSE,9:26:45 AM
TRUE,1:56:26 PM
FALSE,3:25:50 PM
FALSE,4:43:16 PM
TRUE,7:01:24 AM
TRUE,4:44:20 PM
FALSE,5:26:02 PM
FALSE,6:47:58 PM
FALSE,7:09:26 PM
TRUE,7:47:24 PM
TRUE,7:53:28 PM
TRUE,8:18:06 PM
FALSE,8:22:19 PM
TRUE,9:08:45 PM
TRUE,9:10:58 PM
TRUE,9:20:13 PM
TRUE,9:13:36 PM
TRUE,12:11:53 PM
TRUE,12:18:49 PM
TRUE,12:30:19 PM
TRUE,1:28:54 PM
TRUE,1:32:55 PM
TRUE,1:45:09 PM
FALSE,1:45:12 PM
TRUE,2:01:48 PM
TRUE,2:12:03 PM
TRUE,2:20:14 PM
TRUE,2:26:31 PM
TRUE,3:11:54 PM
TRUE,7:10:48 PM
TRUE,3:39:36 PM
TRUE,3:42:06 PM
TRUE,3:44:54 PM
TRUE,5:56:28 PM
FALSE,8:24:17 PM
TRUE,8:27:18 PM
FALSE,8:31:25 PM
TRUE,8:52:55 PM
TRUE,8:53:55 PM
FALSE,12:29:03 AM
TRUE,12:49:19 AM
FALSE,4:56:34 PM
TRUE,8:25:11 PM
TRUE,10:15:17 AM
TRUE,4:21:41 PM
TRUE,9:23:35 PM
TRUE,6:05:50 AM
FALSE,9:22:47 AM
TRUE,10:37:25 AM
TRUE,9:54:29 AM
TRUE,10:45:59 AM
TRUE,11:02:11 AM
TRUE,11:04:20 AM
TRUE,7:55:31 PM
TRUE,11:16:36 AM
TRUE,11:46:40 AM
TRUE,12:33:55 PM
TRUE,3:50:02 PM
TRUE,4:42:28 PM
TRUE,4:48:46 PM
TRUE,5:30:26 PM
TRUE,7:16:29 PM
TRUE,7:17:15 PM
FALSE,7:28:44 PM
TRUE,7:43:32 PM
FALSE,10:08:00 PM
FALSE,11:24:40 PM
TRUE,7:37:45 AM
TRUE,11:05:17 AM
TRUE,4:22:59 PM
FALSE,10:41:32 AM
TRUE,5:22:55 PM
TRUE,6:24:27 PM
FALSE,12:56:29 PM
TRUE,5:15:40 PM
FALSE,7:23:40 PM
TRUE,8:56:45 PM
TRUE,11:18:38 PM
FALSE,11:21:06 PM
TRUE,11:27:00 PM
TRUE,3:33:34 PM
TRUE,4:58:58 PM
FALSE,5:50:23 PM
FALSE,6:00:52 PM
TRUE,6:21:18 PM
TRUE,8:44:48 PM
FALSE,8:51:21 PM
TRUE,9:13:27 PM
TRUE,12:09:10 PM
TRUE,7:40:49 PM
FALSE,1:47:12 AM
FALSE,8:02:29 PM
TRUE,8:29:16 PM
TRUE,2:44:18 PM
TRUE,11:55:52 AM
TRUE,10:34:28 PM
TRUE,2:00:23 PM
TRUE,9:56:45 PM
TRUE,10:44:51 PM
FALSE,10:37:03 PM
FALSE,2:06:51 PM
FALSE,9:30:08 PM
TRUE,12:23:36 PM
TRUE,12:56:30 PM
TRUE,1:20:08 PM
TRUE,5:30:24 PM
TRUE,7:42:32 PM
FALSE,9:19:38 PM
TRUE,9:39:50 PM
TRUE,2:02:33 PM
TRUE,3:50:56 PM
TRUE,4:17:49 PM
TRUE,7:34:48 PM
TRUE,10:18:04 AM
TRUE,7:49:28 PM
TRUE,10:57:03 PM
TRUE,9:24:41 PM
FALSE,10:37:55 PM
FALSE,11:30:34 PM
TRUE,5:23:01 AM
FALSE,10:23:31 AM
TRUE,7:06:17 PM
TRUE,7:49:31 AM
FALSE,9:59:56 PM
FALSE,11:04:49 PM
TRUE,12:06:39 AM
FALSE,2:06:27 PM
TRUE,4:57:24 AM
TRUE,7:10:40 PM
TRUE,8:12:56 PM
TRUE,8:13:07 PM
TRUE,9:57:10 PM
TRUE,10:30:08 PM
FALSE,10:51:15 PM
TRUE,10:56:05 PM
TRUE,9:57:41 PM
TRUE,10:17:56 PM
TRUE,10:32:33 AM
FALSE,1:25:01 PM
FALSE,1:37:12 PM
FALSE,2:09:30 PM
TRUE,3:05:13 PM
TRUE,3:13:39 PM
TRUE,12:21:16 AM
TRUE,4:42:11 PM
TRUE,6:46:15 PM
TRUE,12:18:32 AM
TRUE,12:15:18 AM
TRUE,12:16:43 AM
TRUE,10:42:35 AM
TRUE,10:49:19 AM
TRUE,7:52:08 PM
TRUE,3:12:51 PM
TRUE,3:23:24 PM
FALSE,6:50:14 AM
TRUE,11:47:12 AM
FALSE,12:10:40 PM
FALSE,12:11:59 PM
TRUE,3:40:45 PM
TRUE,5:02:05 PM
TRUE,5:03:26 PM
TRUE,8:34:44 PM
TRUE,11:28:34 PM
FALSE,11:44:13 PM
TRUE,2:04:18 PM
TRUE,7:42:35 PM
TRUE,9:04:01 PM
TRUE,9:20:54 PM
FALSE,11:54:35 AM
FALSE,5:42:22 PM
TRUE,7:58:45 PM
TRUE,2:05:36 PM
TRUE,12:29:36 PM
TRUE,3:37:17 PM
TRUE,5:17:52 PM
FALSE,10:05:01 PM
TRUE,10:35:01 PM
TRUE,11:00:53 PM
FALSE,11:08:21 PM
TRUE,8:54:35 AM
FALSE,10:45:57 AM
TRUE,12:38:20 PM
TRUE,5:40:50 PM
FALSE,10:50:33 PM
TRUE,10:51:24 PM
TRUE,10:53:43 PM
TRUE,2:07:53 AM
TRUE,1:48:11 PM
TRUE,1:51:24 PM
FALSE,1:53:57 PM
TRUE,5:29:46 PM
TRUE,5:35:26 PM
TRUE,8:01:34 PM
FALSE,11:51:39 AM
TRUE,7:07:43 PM
FALSE,6:34:15 PM
TRUE,11:53:48 AM
TRUE,12:31:42 PM
FALSE,2:55:05 PM
FALSE,6:11:22 PM
FALSE,6:52:47 PM
FALSE,6:58:57 PM
FALSE,7:03:58 PM
TRUE,12:18:43 PM
TRUE,11:14:03 PM
TRUE,12:16:20 AM
TRUE,3:25:32 AM
FALSE,1:51:50 PM
TRUE,3:20:45 AM
TRUE,3:55:40 AM
TRUE,8:18:46 AM
FALSE,10:31:30 AM
FALSE,12:36:04 PM
FALSE,8:49:55 PM
TRUE,11:45:56 AM
TRUE,12:39:10 PM
TRUE,1:10:27 PM
TRUE,1:12:54 PM
TRUE,12:48:47 PM
FALSE,9:38:20 PM
TRUE,2:11:11 PM
TRUE,8:43:32 PM
FALSE,10:07:25 PM
TRUE,11:10:14 PM
TRUE,11:24:21 AM
FALSE,9:19:17 AM
TRUE,11:39:21 AM
TRUE,9:08:42 AM
FALSE,9:19:48 AM
TRUE,2:13:14 PM
TRUE,3:56:47 PM
TRUE,4:27:56 PM
TRUE,3:42:50 PM
FALSE,3:40:09 PM
TRUE,6:13:08 PM
TRUE,6:16:14 PM
FALSE,9:23:22 PM
TRUE,2:35:57 PM
TRUE,2:47:58 PM
TRUE,2:18:11 PM
FALSE,2:21:40 PM
FALSE,2:39:58 PM
TRUE,4:52:01 PM
TRUE,4:02:45 PM
TRUE,5:01:41 PM
TRUE,9:28:42 AM
FALSE,8:32:06 PM
FALSE,5:36:50 PM
TRUE,8:07:14 PM
TRUE,8:48:26 PM
FALSE,8:51:24 PM
TRUE,11:54:31 PM
FALSE,10:29:16 PM
TRUE,4:14:54 PM
TRUE,12:42:26 PM
TRUE,2:27:34 PM
FALSE,2:04:30 PM
FALSE,2:54:34 PM
TRUE,3:06:42 PM
FALSE,5:56:29 PM
TRUE,6:50:09 PM
TRUE,7:23:56 PM
TRUE,1:03:56 PM
TRUE,2:42:22 PM
TRUE,11:30:42 PM
TRUE,8:18:32 AM
FALSE,11:15:55 PM
FALSE,12:11:06 AM
FALSE,11:27:11 PM
TRUE,12:30:55 AM
TRUE,8:32:39 AM
